"dose_id","dose_code","dose_name_ar","dose_name_en","deleted","insert_date","insert_uid"
"1","1","بدون","","1","10/13/2023 4:28:33 AM","1"
"2","2","قرص كل 12 ساعة","","1","1/1/2024 7:14:18 PM","1"
