"store_id","store_code","store_name_ar","store_name_en","active","insert_date","insert_uid","start_update_date"
"1","1","الصيدلية","","0","5/12/2024 2:35:25 PM","1","5/12/2024 2:35:25 PM"
"2","2","اكسبير","","0","5/12/2024 2:35:25 PM","1","5/12/2024 2:35:25 PM"
