"bank_id","bank_code","bank_name_ar","bank_name_en","bank_address","bank_tel","insert_uid","insert_date","update_uid","update_date"
"1","1","بنك مصر","Misr Bank","","3352103","Master","9/7/2010 4:30:00 PM","Master","9/8/2010 2:40:59 PM"
"2","2","البنك الاهلى","","","","Master","9/9/2010 3:42:28 PM","","9/9/2010 3:42:28 PM"
