"emp_code","start_end","Saturday","Sunday","Monday","Tuesday","Wednesday","Thursday","Friday","insert_uid","insert_date","update_date","update_uid"
"1","1","00:00","00:00","00:00","00:00","00:00","00:00","00:00","1","12/26/2010 8:37:22 PM","2/20/2024 11:51:26 AM","1"
"1","0","00:00","00:00","00:00","00:00","00:00","00:00","00:00","1","12/26/2010 8:37:26 PM","2/20/2024 11:51:26 AM","1"
