"id","class","product_id","general","notes","store_id","insert_uid","insert_date","update_uid","update_date","vendor_id","amount"
"52","0","51980","0","فاتورة البيع","1","1","6/6/2021 10:11:37 PM","","6/6/2021 10:11:37 PM","0","0"
"53","0","41787","0","فاتورة البيع","1","1","8/7/2022 10:09:07 PM","","8/7/2022 10:09:07 PM","0","0"
"54","0","58033","0","فاتورة البيع","1","1","10/19/2023 6:25:46 PM","","10/19/2023 6:25:46 PM","0","0"
"55","0","9149","0","فاتورة البيع","1","1","6/9/2021 2:54:59 PM","","6/9/2021 2:54:59 PM","0","0"
"56","0","66404","0","فاتورة البيع","1","1","6/25/2021 10:15:44 PM","","6/25/2021 10:15:44 PM","0","0"
"57","0","46535","0","فاتورة البيع","1","1","10/10/2023 9:33:07 PM","","10/10/2023 9:33:07 PM","0","0"
"58","0","59589","0","فاتورة البيع","1","1","10/19/2023 6:24:53 PM","","10/19/2023 6:24:53 PM","0","0"
"59","0","66427","0","فاتورة البيع","1","1","7/5/2021 8:37:32 PM","","7/5/2021 8:37:32 PM","0","0"
"60","0","19133","0","فاتورة البيع","1","1","7/15/2021 1:00:49 PM","","7/15/2021 1:00:49 PM","0","0"
"61","0","64604","0","فاتورة البيع","1","1","6/16/2021 5:01:08 PM","","6/16/2021 5:01:08 PM","0","0"
"62","0","60319","0","فاتورة البيع","1","1","4/2/2024 11:07:24 PM","","4/2/2024 11:07:24 PM","0","0"
"63","0","22923","0","فاتورة البيع","1","1","7/6/2021 6:52:29 PM","","7/6/2021 6:52:29 PM","0","0"
"64","0","65333","0","فاتورة البيع","1","1","6/11/2021 9:13:11 PM","","6/11/2021 9:13:11 PM","0","0"
"65","0","61875","0","فاتورة البيع","1","1","6/15/2024 5:53:53 PM","","6/15/2024 5:53:53 PM","0","0"
"66","0","285","0","فاتورة البيع","1","1","10/12/2021 5:55:27 PM","","10/12/2021 5:55:27 PM","0","0"
"67","0","66406","0","فاتورة البيع","1","1","6/12/2021 7:17:39 PM","","6/12/2021 7:17:39 PM","0","0"
"68","0","66356","0","فاتورة البيع","1","1","9/22/2021 3:13:34 PM","","9/22/2021 3:13:34 PM","0","0"
"69","0","66428","0","فاتورة البيع","1","1","6/12/2021 8:48:39 PM","","6/12/2021 8:48:39 PM","0","0"
"70","0","66287","0","فاتورة البيع","1","1","11/16/2021 12:45:25 AM","","11/16/2021 12:45:25 AM","0","0"
"71","0","40062","0","فاتورة البيع","1","1","1/8/2023 2:03:29 PM","","1/8/2023 2:03:29 PM","0","0"
"72","0","26337","0","فاتورة البيع","1","1","7/3/2021 5:34:03 PM","","7/3/2021 5:34:03 PM","0","0"
"73","0","11283","0","فاتورة البيع","1","1","10/12/2021 2:14:30 PM","","10/12/2021 2:14:30 PM","0","0"
"74","0","62649","0","فاتورة البيع","1","1","9/22/2021 3:13:34 PM","","9/22/2021 3:13:34 PM","0","0"
"75","0","48812","0","فاتورة البيع","1","1","9/22/2021 3:13:33 PM","","9/22/2021 3:13:33 PM","0","0"
"76","0","34695","0","فاتورة البيع","1","1","3/4/2022 8:13:27 PM","","3/4/2022 8:13:27 PM","0","0"
"77","0","66429","0","فاتورة البيع","1","1","8/22/2021 1:24:28 PM","","8/22/2021 1:24:28 PM","0","0"
"78","0","66371","0","فاتورة البيع","1","1","6/19/2021 4:02:27 PM","","6/19/2021 4:02:27 PM","0","0"
"79","0","66294","0","فاتورة البيع","1","1","6/24/2021 5:37:17 PM","","6/24/2021 5:37:17 PM","0","0"
"80","0","51683","0","فاتورة البيع","1","1","3/9/2024 7:34:29 PM","","3/9/2024 7:34:29 PM","0","0"
"81","0","1027","0","فاتورة البيع","1","1","7/1/2021 9:21:44 PM","","7/1/2021 9:21:44 PM","0","0"
"82","0","66288","0","فاتورة البيع","1","1","11/10/2021 6:45:44 PM","","11/10/2021 6:45:44 PM","0","0"
"83","0","22773","0","فاتورة البيع","1","1","10/12/2021 2:05:51 PM","","10/12/2021 2:05:51 PM","0","0"
"84","0","60596","0","فاتورة البيع","1","1","11/13/2021 12:12:15 PM","","11/13/2021 12:12:15 PM","0","0"
"85","0","57451","0","فاتورة البيع","1","1","6/22/2021 8:17:26 PM","","6/22/2021 8:17:26 PM","0","0"
"86","0","9248","0","فاتورة البيع","1","1","6/21/2024 8:35:40 PM","","6/21/2024 8:35:40 PM","0","0"
"87","0","63229","0","فاتورة البيع","1","1","10/17/2021 7:21:15 PM","","10/17/2021 7:21:15 PM","0","0"
"88","0","53981","0","فاتورة البيع","1","1","8/7/2022 9:34:43 PM","","8/7/2022 9:34:43 PM","0","0"
"89","0","32391","0","فاتورة البيع","1","1","7/14/2023 9:29:47 PM","","7/14/2023 9:29:47 PM","0","0"
"90","0","47353","0","فاتورة البيع","1","1","7/5/2021 8:40:21 PM","","7/5/2021 8:40:21 PM","0","0"
"91","0","51401","0","فاتورة البيع","1","1","9/22/2021 3:13:33 PM","","9/22/2021 3:13:33 PM","0","0"
"92","0","1477","0","فاتورة البيع","1","1","6/26/2021 12:52:36 PM","","6/26/2021 12:52:36 PM","0","0"
"93","0","65263","0","فاتورة البيع","1","1","9/28/2023 10:08:51 PM","","9/28/2023 10:08:51 PM","0","0"
"94","0","66265","0","فاتورة البيع","1","1","9/22/2021 3:13:34 PM","","9/22/2021 3:13:34 PM","0","0"
"95","0","48304","0","فاتورة البيع","1","1","7/23/2023 1:05:19 PM","","7/23/2023 1:05:19 PM","0","0"
