"pd_id","pd_code","pd_name_ar","pd_name_en","deleted","insert_date","insert_uid"
"382","382","ماسك للشعر","HAIR MASK","1","3/26/2014 9:58:03 AM","1"
"383","383","معطر للشعر","","1","3/26/2014 9:58:03 AM","1"
"384","384","مستلزمات طبية","Health Care Products","1","5/8/2014 7:12:12 PM","1"
"385","385","جل حلاقة","SHAVING GEL","1","5/14/2014 7:10:20 PM","1"
"386","386","حلمة اطفال","BABY TEAT","1","5/17/2014 2:20:07 PM","1"
"387","387","حلمة ثدى صناعى","NIPPLE SHIELD","1","5/17/2014 2:30:11 PM","1"
"388","388","شفاط ثدى","BREAST PUMP","1","5/17/2014 2:35:29 PM","1"
"389","389","شفاط مخاط","NASAL ASPIRATOR","1","5/17/2014 2:39:14 PM","1"
"390","390","كوب اطفال","BABY CUP","1","5/17/2014 2:41:04 PM","1"
"391","391","ببرونة","feeder","1","5/17/2014 2:55:05 PM","1"
"392","392","لهاية","","1","5/17/2014 3:51:39 PM","1"
"393","393","كحول","","1","5/29/2014 2:59:32 PM","1"
"394","394","استحلاب و باستلية","LOZENGES","1","2/21/2015 1:31:55 PM","1001"
"395","395","مرطب شفاه","LIP BALM","1","6/8/2014 9:05:50 PM","1"
"396","396","باستلية","PASTILLES","0","2/21/2015 1:31:35 PM","1001"
"397","397","مشروبات باكت","PACKETS","1","6/10/2014 3:35:28 PM","1"
"398","398","قلم حواجب","EYEBROW PENCIL","0","2/21/2015 1:31:07 PM","1001"
"399","399","عدسات لاصقة","LENSES","1","6/15/2014 8:16:34 PM","1"
"400","400","منتجات اطفال","","1","2/9/2015 1:30:01 PM","1001"
"401","401","منتجات اسنان","","0","2/21/2015 1:30:51 PM","1001"
"402","402","ملمع حذاء","","1","5/9/2015 9:27:08 AM","1020"
"403","403","قصافة","","1","5/9/2015 10:53:15 AM","1020"
"404","404","عجينة","","1","5/9/2015 11:30:36 AM","1020"
"405","405","معطر ملابس","","1","5/10/2015 11:03:16 AM","1020"
"406","406","معجون اسنان","","1","5/11/2015 9:28:34 AM","1020"
"407","407","ماء اكسجين","","1","5/17/2015 9:32:12 AM","1036"
"408","408","رباط ضاغط","","1","5/31/2015 3:49:17 PM","1036"
"409","409","قطن طبى","","1","6/1/2015 9:53:30 AM","1036"
"410","410","عازل طبى","","1","6/3/2015 9:19:18 AM","1036"
"411","411","سكاتة اطفال","","1","6/6/2015 1:46:41 PM","1036"
"412","412","لوفة","","1","6/13/2015 2:24:04 PM","1036"
"413","413","برفان","","1","7/14/2015 9:54:33 AM","1036"
"414","414","بودرة وجه","","1","7/30/2015 1:13:22 PM","1036"
"415","415","كيراتين","","1","8/11/2015 1:55:27 PM","1036"
"416","416","بودرة جسم","","1","8/25/2015 12:05:26 PM","1036"
